battery_current_A,battery_voltage_V,state_of_charge_percent,ambient_temperature_C,battery_temperature_C,coolant_inlet_temperature_C,coolant_flow_rate_kg_s,coolant_pressure_Pa,nanoparticle_concentration_percent,reynolds_number,heat_transfer_coefficient_W_m2K,microchannel_width_mm,microchannel_height_mm,discharge_rate_C,max_battery_temperature_C,temperature_rise_C,thermal_risk_score,thermal_risk_label,hotspot_risk_score
11.324,4.029,30.32,37.11,47.39,30.13,0.00555,157752.0,2.869,7436.2,19378.59,0.957,0.524,2.405,53.41,16.3,100.0,CRITICAL,66.76
1.629,3.934,30.64,23.96,25.99,20.23,0.01953,95495.7,0.495,8000.0,20522.28,0.963,0.523,1.479,23.96,0.0,0.0,NORMAL,4.02
11.351,4.066,58.69,35.09,45.72,34.55,0.00743,158161.8,3.718,8000.0,20808.72,0.675,0.732,2.088,47.29,12.19,78.75,CRITICAL,56.74
4.516,4.148,30.29,31.35,35.18,27.8,0.01531,157449.8,1.462,8000.0,20481.38,0.476,0.261,2.188,36.43,5.08,6.8,NORMAL,4.0
1.68,3.764,30.46,22.85,24.54,19.5,0.03991,136287.6,4.792,8000.0,20962.51,0.818,0.517,0.812,22.85,0.0,0.0,NORMAL,0.0
10.646,3.945,48.29,44.26,55.0,36.5,0.01379,195065.5,0.126,8000.0,20533.47,0.763,0.277,3.324,57.69,13.44,100.0,CRITICAL,67.78
10.461,3.69,80.95,37.51,48.39,35.0,0.00666,112601.1,2.822,8000.0,20813.67,0.913,0.275,3.452,50.7,13.18,86.33,CRITICAL,71.53
12.651,3.986,35.15,38.97,50.25,31.75,0.01284,149099.3,3.519,8000.0,20914.22,0.896,0.582,3.245,54.3,15.34,100.0,CRITICAL,74.39
1.06,3.737,32.64,24.99,25.47,20.32,0.03147,95546.0,2.154,8000.0,20746.68,0.495,0.237,1.124,24.99,0.0,0.0,NORMAL,0.0
2.885,3.936,55.24,26.36,27.57,22.94,0.03905,126391.7,4.826,8000.0,21140.14,0.709,0.352,0.928,27.32,0.96,0.0,NORMAL,0.0
1.005,3.475,41.74,20.23,22.37,23.88,0.02532,111819.1,1.498,8000.0,20608.46,0.607,0.763,1.19,22.0,0.0,0.0,NORMAL,0.0
10.865,3.887,98.28,35.14,44.77,39.72,0.01236,163506.7,0.118,8000.0,20652.49,0.95,0.639,3.776,45.18,10.04,60.62,HIGH,47.3
8.418,3.779,82.58,29.84,38.59,26.58,0.01141,171511.1,3.422,8000.0,20856.39,0.586,0.73,2.219,35.51,5.67,8.69,NORMAL,6.56
12.546,3.45,45.25,33.96,46.04,28.74,0.00831,183113.8,2.573,8000.0,20807.75,0.344,0.395,3.92,49.4,15.44,82.69,CRITICAL,61.28
3.099,3.886,20.78,29.07,32.15,19.18,0.035,109781.4,3.042,8000.0,20880.99,0.643,0.749,0.811,30.72,1.65,0.0,NORMAL,0.0
3.982,3.57,29.61,25.57,28.83,23.0,0.03295,157831.0,2.763,8000.0,20504.71,0.461,0.624,0.675,25.78,0.21,0.0,NORMAL,0.0
6.577,3.829,80.5,27.25,32.48,27.25,0.02915,140795.8,3.6,8000.0,20993.14,0.307,0.234,1.198,29.1,1.84,0.0,NORMAL,0.0
4.237,3.858,51.13,26.97,30.3,21.48,0.01906,144242.4,2.367,8000.0,20778.68,0.938,0.573,1.329,28.02,1.05,0.0,NORMAL,0.21
11.003,3.871,27.58,31.03,41.47,34.08,0.01451,106980.9,0.341,8000.0,20476.95,0.771,0.22,2.3,42.16,11.13,44.7,CAUTION,35.85
7.302,3.884,66.24,25.36,31.49,23.86,0.01279,165015.9,0.289,8000.0,20491.38,0.382,0.498,2.456,28.61,3.25,0.0,NORMAL,8.61
12.85,3.617,67.55,37.71,49.39,32.56,0.0171,154782.5,0.151,8000.0,20580.91,0.566,0.25,3.873,51.43,13.72,88.92,CRITICAL,64.39
2.138,3.825,39.63,23.27,24.87,20.52,0.03652,188790.2,4.822,8000.0,20954.62,0.495,0.209,1.447,23.27,0.0,0.0,NORMAL,0.0
11.866,4.107,22.97,37.98,50.86,30.11,0.01361,152054.1,4.782,8000.0,20924.86,0.871,0.733,3.652,50.28,12.31,84.85,CRITICAL,58.52
9.616,3.268,60.74,39.43,46.67,30.19,0.01176,163323.3,1.942,8000.0,20678.4,0.788,0.646,3.085,50.26,10.83,81.69,CRITICAL,57.93
